"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USC00041312","CALISTOGA, CA US","1980-01-01","0.02",,,
"USC00041312","CALISTOGA, CA US","1980-01-02","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-01-03","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-01-04","0.02",,,
"USC00041312","CALISTOGA, CA US","1980-01-05","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-01-06","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-01-07","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-01-08","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-01-09","0.24",,,
"USC00041312","CALISTOGA, CA US","1980-01-10","0.05",,,
"USC00041312","CALISTOGA, CA US","1980-01-11","1.20",,,
"USC00041312","CALISTOGA, CA US","1980-01-12","2.51",,,
"USC00041312","CALISTOGA, CA US","1980-01-13","2.15",,,
"USC00041312","CALISTOGA, CA US","1980-01-14","0.46",,,
"USC00041312","CALISTOGA, CA US","1980-01-15","0.27",,,
"USC00041312","CALISTOGA, CA US","1980-01-16","0.96",,,
"USC00041312","CALISTOGA, CA US","1980-01-17","0.23",,,
"USC00041312","CALISTOGA, CA US","1980-01-18","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-01-19","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-01-20","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-01-21","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-01-22","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-01-23","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-01-24","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-01-25","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-01-26","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-01-27","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-01-28","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-01-29","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-01-30","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-01-31","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-02-01","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-02-02","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-02-03","0.12",,,
"USC00041312","CALISTOGA, CA US","1980-02-04","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-02-05","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-02-06","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-02-07","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-02-08","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-02-09","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-02-10","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-02-11","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-02-12","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-02-13","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-02-14","0.08",,,
"USC00041312","CALISTOGA, CA US","1980-02-15","0.86",,,
"USC00041312","CALISTOGA, CA US","1980-02-16","1.45",,,
"USC00041312","CALISTOGA, CA US","1980-02-17","3.25",,,
"USC00041312","CALISTOGA, CA US","1980-02-18","0.38",,,
"USC00041312","CALISTOGA, CA US","1980-02-19","1.74",,,
"USC00041312","CALISTOGA, CA US","1980-02-20","0.61",,,
