"STATION","NAME","DATE","PRCP","TMAX","TMIN","WT01","WT03"
"USC00048351","SONOMA, CA US","1980-01-01","0.00",,,,
"USC00048351","SONOMA, CA US","1980-01-02","0.00","61","37",,
"USC00048351","SONOMA, CA US","1980-01-03","0.00","61","35",,
"USC00048351","SONOMA, CA US","1980-01-04","0.05","56","41",,
"USC00048351","SONOMA, CA US","1980-01-05","0.01","56","44",,
"USC00048351","SONOMA, CA US","1980-01-06","0.00","56","43",,
"USC00048351","SONOMA, CA US","1980-01-07","0.00","64","41",,
"USC00048351","SONOMA, CA US","1980-01-08","0.00","60","47",,
"USC00048351","SONOMA, CA US","1980-01-09","0.50","55","48",,
"USC00048351","SONOMA, CA US","1980-01-10","0.06","55","38",,
"USC00048351","SONOMA, CA US","1980-01-11","1.24","54","44",,
"USC00048351","SONOMA, CA US","1980-01-12","2.55","66","52",,
"USC00048351","SONOMA, CA US","1980-01-13","1.75","64","58",,
"USC00048351","SONOMA, CA US","1980-01-14","0.36","62","55",,
"USC00048351","SONOMA, CA US","1980-01-15","0.25","59","45",,
"USC00048351","SONOMA, CA US","1980-01-16","0.67","60","52",,
"USC00048351","SONOMA, CA US","1980-01-17","0.55","62","52",,
"USC00048351","SONOMA, CA US","1980-01-18","0.00","60","37",,
"USC00048351","SONOMA, CA US","1980-01-19","0.00","67","33",,
"USC00048351","SONOMA, CA US","1980-01-20","0.00","64","31",,
"USC00048351","SONOMA, CA US","1980-01-21","0.00","64","31",,
"USC00048351","SONOMA, CA US","1980-01-22","0.00","65","34",,
"USC00048351","SONOMA, CA US","1980-01-23","0.00","65","32",,
"USC00048351","SONOMA, CA US","1980-01-24","0.00","64","35",,
"USC00048351","SONOMA, CA US","1980-01-25","0.00","54","37",,
"USC00048351","SONOMA, CA US","1980-01-26","0.00","54","36",,
"USC00048351","SONOMA, CA US","1980-01-27","0.00","57","43",,
"USC00048351","SONOMA, CA US","1980-01-28","0.00","54","30",,
"USC00048351","SONOMA, CA US","1980-01-29","0.00","55","27",,
"USC00048351","SONOMA, CA US","1980-01-30","0.00","61","23",,
"USC00048351","SONOMA, CA US","1980-01-31","0.00","61","35",,
"USC00048351","SONOMA, CA US","1980-02-01","0.00","61","44",,
"USC00048351","SONOMA, CA US","1980-02-02","0.00","60","42",,
"USC00048351","SONOMA, CA US","1980-02-03","0.02","60","45",,
"USC00048351","SONOMA, CA US","1980-02-04","0.00","64","49",,
"USC00048351","SONOMA, CA US","1980-02-05","0.00","63","43",,
"USC00048351","SONOMA, CA US","1980-02-06","0.00","72","43",,
"USC00048351","SONOMA, CA US","1980-02-07","0.00","71","48",,
"USC00048351","SONOMA, CA US","1980-02-08","0.00","74","51",,
"USC00048351","SONOMA, CA US","1980-02-09","0.00","68","32",,
"USC00048351","SONOMA, CA US","1980-02-10","0.00","65","35",,
"USC00048351","SONOMA, CA US","1980-02-11","0.00","68","55",,
"USC00048351","SONOMA, CA US","1980-02-12","0.00","69","61",,
"USC00048351","SONOMA, CA US","1980-02-13","0.00","65","31",,
"USC00048351","SONOMA, CA US","1980-02-14","0.14","60","47",,
"USC00048351","SONOMA, CA US","1980-02-15","0.80","61","49",,
"USC00048351","SONOMA, CA US","1980-02-16","1.36","57","51",,
"USC00048351","SONOMA, CA US","1980-02-17","1.89","58","55",,
"USC00048351","SONOMA, CA US","1980-02-18","1.65","63","56",,
"USC00048351","SONOMA, CA US","1980-02-19","1.24","61","55",,
"USC00048351","SONOMA, CA US","1980-02-20","0.29","58","47",,"    1"
"USC00048351","SONOMA, CA US","1980-02-21","1.70","61","50",,
"USC00048351","SONOMA, CA US","1980-02-22","0.49","62","49",,
"USC00048351","SONOMA, CA US","1980-02-23","0.00","65","39",,
"USC00048351","SONOMA, CA US","1980-02-24","0.06","62","59",,
"USC00048351","SONOMA, CA US","1980-02-25","0.22","69","47",,
"USC00048351","SONOMA, CA US","1980-02-26","0.00","70","56",,
"USC00048351","SONOMA, CA US","1980-02-27","0.46","68","50",,"    1"
"USC00048351","SONOMA, CA US","1980-02-28","0.30","63","48",,
"USC00048351","SONOMA, CA US","1980-02-29","0.00","69","38",,
"USC00048351","SONOMA, CA US","1980-03-01","0.00","68","43",,
"USC00048351","SONOMA, CA US","1980-03-02","0.39","62","54",,
"USC00048351","SONOMA, CA US","1980-03-03","0.25","62","46",,
"USC00048351","SONOMA, CA US","1980-03-04","0.00","65","37",,
"USC00048351","SONOMA, CA US","1980-03-05","0.54","59","44",,
"USC00048351","SONOMA, CA US","1980-03-06","0.02","58","43",,
"USC00048351","SONOMA, CA US","1980-03-07","0.00","66","35",,
"USC00048351","SONOMA, CA US","1980-03-08","0.00","69","36",,
"USC00048351","SONOMA, CA US","1980-03-09","0.00","74","41",,
"USC00048351","SONOMA, CA US","1980-03-10","0.00","74","35",,
"USC00048351","SONOMA, CA US","1980-03-11","0.00","68","39",,
"USC00048351","SONOMA, CA US","1980-03-12","0.00","62","32",,
"USC00048351","SONOMA, CA US","1980-03-13","0.00","62","40",,
"USC00048351","SONOMA, CA US","1980-03-14","0.09","60","49",,
"USC00048351","SONOMA, CA US","1980-03-15","0.04","64","36",,
"USC00048351","SONOMA, CA US","1980-03-16","0.00","65","33",,
"USC00048351","SONOMA, CA US","1980-03-17","0.00","64","32",,
"USC00048351","SONOMA, CA US","1980-03-18","0.00","71","43",,
"USC00048351","SONOMA, CA US","1980-03-19","0.00","78","48",,
"USC00048351","SONOMA, CA US","1980-03-20","0.00","73","47",,
"USC00048351","SONOMA, CA US","1980-03-21","0.00","68","44",,
"USC00048351","SONOMA, CA US","1980-03-22","0.00","80","43",,
"USC00048351","SONOMA, CA US","1980-03-23","0.00","80","35",,
"USC00048351","SONOMA, CA US","1980-03-24","0.00","76","38",,
"USC00048351","SONOMA, CA US","1980-03-25","0.22","73","44",,
"USC00048351","SONOMA, CA US","1980-03-26","0.00","65","37",,
"USC00048351","SONOMA, CA US","1980-03-27","0.00","68","40",,
"USC00048351","SONOMA, CA US","1980-03-28","0.00","77","40",,
"USC00048351","SONOMA, CA US","1980-03-29","0.00","78","38",,
"USC00048351","SONOMA, CA US","1980-03-30","0.00","75","42",,
"USC00048351","SONOMA, CA US","1980-03-31","0.00","72","39",,
"USC00048351","SONOMA, CA US","1980-04-01","0.00","69","43",,
"USC00048351","SONOMA, CA US","1980-04-02","0.00","66","35",,
"USC00048351","SONOMA, CA US","1980-04-03","0.00","59","37",,
"USC00048351","SONOMA, CA US","1980-04-04","0.34","58","45",,
"USC00048351","SONOMA, CA US","1980-04-05","0.56","62","47",,
"USC00048351","SONOMA, CA US","1980-04-06","0.04","63","43",,
"USC00048351","SONOMA, CA US","1980-04-07","0.00","70","34",,
"USC00048351","SONOMA, CA US","1980-04-08","0.00","72","36",,
"USC00048351","SONOMA, CA US","1980-04-09","0.08","70","45",,
"USC00048351","SONOMA, CA US","1980-04-10","0.00","76","38",,
"USC00048351","SONOMA, CA US","1980-04-11","0.00","84","44",,
"USC00048351","SONOMA, CA US","1980-04-12","0.00","85","40",,
"USC00048351","SONOMA, CA US","1980-04-13","0.00","82","40",,
"USC00048351","SONOMA, CA US","1980-04-14","0.00","72","39",,
"USC00048351","SONOMA, CA US","1980-04-15","0.00","76","41",,
"USC00048351","SONOMA, CA US","1980-04-16","0.00","84","42",,
