"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","WT01","WT03","WT04","WT05","WT06","WT08","WT09","WT11","WT14","WT16","WT18"
"USC00047965","SANTA ROSA, CA US","1986-01-01","0.02",,"58","49",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-01-02","0.00",,"58","44",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-01-03","0.00",,"53","44",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-01-04","0.82",,"56","48",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-01-05","0.31",,"58","48",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-01-06","0.02",,"57","44",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-01-07","0.01",,"59","37",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-01-08","0.00",,"59","37",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-01-09","0.00",,"59","35",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-01-10","0.01",,"51","34",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-01-11","0.00",,"53","35",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-01-12","0.00",,"52","36",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-01-13","0.00",,"47","35",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-01-14","0.39",,"51","38",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-01-15","0.17",,"53","44",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-01-16","1.72",,"54","49",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-01-17","0.79",,"59","53",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-01-18","0.01",,"59","47",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-01-19","0.05",,"55","48",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-01-20","0.00",,"57","38",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-01-21","0.00",,"57","39",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-01-22","0.00",,"56","40",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-01-23","0.41",,"55","41",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-01-24","0.01",,"59","35",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-01-25","0.00",,"62","34",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-01-26","0.00",,"62","38",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-01-27","0.00",,"60","42",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-01-28","0.00",,"59","44",,,,,,,,,,,
