"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT08","WT09","WT10","WT11","WT13","WT14","WT16","WT18","WT19","WT21","WT22"
"USC00047965","SANTA ROSA, CA US","2001-01-01","0.00",,"63","35",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-01-02","0.00",,"64","34",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-01-03","0.00",,"65","34",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-01-04","0.00",,"63","35",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-01-05","0.00",,"66","34",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-01-06","0.00",,"65","36",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-01-07","0.00",,"58","34",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-01-08","0.46",,"56","48",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-01-09","0.13",,"48","33",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-01-10","1.03",,"54","33",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-01-11","0.86",,"47","45",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-01-12","0.04",,"58","41",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-01-13","0.00",,"56","41",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-01-14","0.03",,"56","36",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-01-15","0.00",,"56","37",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-01-16","0.00",,"57","35",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-01-17","0.00",,"58","31",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-01-18","0.00",,"54","32",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-01-19","0.00",,"61","41",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-01-20","0.00",,"60","37",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-01-21","0.00",,"55","35",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-01-22","0.00",,"62","36",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-01-23","0.65",,"53","44",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-01-24","0.23",,"55","41",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-01-25","0.93",,"53","38",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-01-26","0.77",,"48","39",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-01-27","0.01",,"61","34",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-01-28","0.00",,"61","32",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-01-29","0.13",,"56","42",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-01-30","0.00",,"59","36",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-01-31","0.00",,"64","31",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-02-01","0.00",,"61","34",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-02-02","0.00",,"60","40",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-02-03","0.00",,"70","40",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-02-04","0.00",,"75","45",,,,,,,,,,,,,,,,
